epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2915.02,1.43835,1.07081,0.00224,0.80073,0.77248,0.79021,0.3899,1.47459,1.33569,0.00271,0.0009176,0.0009176,0.0009176
43,2984.82,1.43912,1.06964,0.00227,0.79357,0.74106,0.77287,0.37461,1.49232,1.36357,0.00275,0.0008912,0.0008912,0.0008912
44,3054.63,1.42745,1.01686,0.00228,0.77184,0.74106,0.76996,0.3879,1.44265,1.34061,0.00266,0.0008648,0.0008648,0.0008648
45,3124.52,1.43776,1.01013,0.00226,0.77612,0.71614,0.76225,0.37496,1.50139,1.3545,0.00276,0.0008384,0.0008384,0.0008384
46,3194.43,1.41882,1.02067,0.00226,0.75649,0.73239,0.7706,0.38329,1.44567,1.3424,0.00267,0.000812,0.000812,0.000812
47,3264.23,1.40626,1.01858,0.00219,0.78605,0.73564,0.77332,0.3695,1.5559,1.32746,0.00286,0.0007856,0.0007856,0.0007856
48,3333.72,1.4092,0.99875,0.00223,0.79418,0.77898,0.78969,0.39897,1.46773,1.27996,0.00272,0.0007592,0.0007592,0.0007592
49,3456.97,1.40352,1.02405,0.00221,0.77599,0.73936,0.77361,0.37229,1.52948,1.38569,0.00279,0.0007328,0.0007328,0.0007328
50,3524.95,1.41102,1.01469,0.00221,0.78661,0.73087,0.77979,0.3713,1.4679,1.35272,0.0027,0.0007064,0.0007064,0.0007064
51,3594.1,1.37301,0.98711,0.00219,0.8037,0.76297,0.79303,0.38969,1.479,1.2892,0.00272,0.00068,0.00068,0.00068
52,3663.73,1.40056,1.00373,0.00222,0.79137,0.74106,0.7873,0.37967,1.57456,1.31403,0.00288,0.0006536,0.0006536,0.0006536
53,3733.62,1.3996,1.00906,0.00222,0.8049,0.72914,0.78507,0.3891,1.47919,1.30924,0.00272,0.0006272,0.0006272,0.0006272
54,3803.84,1.37543,0.9757,0.00216,0.78686,0.7649,0.78459,0.38707,1.44153,1.34164,0.00266,0.0006008,0.0006008,0.0006008
55,3873.67,1.39109,0.9944,0.00219,0.80986,0.76142,0.77313,0.36766,1.57159,1.30848,0.00288,0.0005744,0.0005744,0.0005744
56,3943.55,1.36358,0.97943,0.00214,0.79749,0.76598,0.79029,0.38472,1.49955,1.31202,0.00276,0.000548,0.000548,0.000548
57,4013.2,1.36094,0.98261,0.00217,0.77698,0.74734,0.78978,0.38602,1.44796,1.32749,0.00268,0.0005216,0.0005216,0.0005216
58,4083.14,1.36433,0.95502,0.0022,0.80261,0.74008,0.79246,0.39442,1.4753,1.30664,0.00271,0.0004952,0.0004952,0.0004952
59,4153.03,1.36194,0.93637,0.00216,0.80713,0.76169,0.7755,0.3712,1.56255,1.29287,0.00288,0.0004688,0.0004688,0.0004688
60,4223.28,1.36109,0.96829,0.00215,0.79854,0.76706,0.78567,0.38396,1.53567,1.28934,0.00283,0.0004424,0.0004424,0.0004424
61,4293.23,1.35388,0.93429,0.00213,0.79318,0.77248,0.78764,0.39305,1.5353,1.23659,0.00284,0.000416,0.000416,0.000416
62,4363.06,1.36339,0.93744,0.00214,0.79451,0.76056,0.79141,0.39203,1.48426,1.29431,0.00274,0.0003896,0.0003896,0.0003896
63,4432.67,1.35201,0.9442,0.00212,0.77936,0.76273,0.78898,0.38493,1.48874,1.31948,0.00274,0.0003632,0.0003632,0.0003632
